P1_hands_dir_Distance_X	P1_hands_dir_Distance_Y	P1_hands_dir_Distance_Z


79.075	-211.216	3.291
79.090	-211.187	3.281
79.046	-211.179	3.279
79.077	-211.182	3.288
79.058	-211.178	3.281
79.026	-211.275	3.217
79.056	-211.274	3.192
79.234	-211.128	3.502
79.138	-211.127	3.434
79.167	-211.120	3.468
79.145	-211.110	3.461
79.187	-211.096	3.488
79.149	-211.093	3.449
79.162	-211.068	3.487
79.160	-211.092	3.454
79.155	-211.087	3.492
79.149	-211.078	3.461
79.148	-211.113	3.515
79.146	-211.068	3.461
79.160	-211.098	3.479
79.180	-211.075	3.510
79.155	-211.078	3.533
79.150	-211.051	3.467
79.153	-211.077	3.523
79.139	-211.058	3.510
79.159	-211.080	3.518
79.119	-211.036	3.468
79.144	-211.026	3.460
79.095	-210.943	3.436
79.070	-210.836	3.420
79.140	-210.837	3.280
79.150	-210.829	3.300
79.144	-210.860	3.296
79.168	-210.829	3.320
79.159	-210.819	3.335
79.150	-210.835	3.316
79.152	-210.853	3.327
79.129	-210.865	3.337
79.171	-210.877	3.364
79.168	-210.851	3.365
79.153	-210.838	3.366
79.157	-210.874	3.387
79.132	-210.877	3.376
79.149	-210.852	3.345
79.137	-210.857	3.351
79.160	-210.838	3.359
79.128	-210.850	3.339
79.128	-210.847	3.312
79.113	-210.818	3.336
79.118	-210.814	3.339
79.140	-210.829	3.350
79.109	-210.830	3.325
79.121	-210.811	3.347
79.106	-210.821	3.334
79.139	-210.834	3.349
79.103	-210.827	3.329
79.133	-210.838	3.329
79.128	-210.855	3.324
79.142	-210.849	3.374
79.152	-210.871	3.372
79.144	-210.903	3.372
79.127	-210.885	3.369
79.139	-210.865	3.377
79.155	-210.879	3.417
79.142	-210.880	3.415
79.162	-210.845	3.394
79.141	-210.858	3.361
79.140	-210.879	3.399
79.152	-210.864	3.382
79.144	-210.876	3.375
79.150	-210.843	3.381
79.119	-210.864	3.344
79.099	-210.879	3.383
79.155	-210.751	3.150
79.138	-210.774	3.169
79.110	-210.699	3.159
79.113	-210.759	3.152
79.119	-210.780	3.154
79.116	-210.785	3.172
79.140	-210.766	3.175
79.136	-210.803	3.166
79.151	-210.812	3.173
79.132	-210.841	3.211
79.129	-210.862	3.226
79.121	-210.871	3.209
79.145	-210.885	3.225
79.096	-210.886	3.202
79.153	-210.943	3.214
79.139	-210.960	3.203
79.179	-210.986	3.189
79.139	-210.984	3.213
79.120	-210.989	3.197
79.168	-211.047	3.217
79.129	-211.018	3.182
79.122	-211.024	3.198
79.132	-211.017	3.184
79.137	-211.046	3.178
79.129	-211.022	3.141
79.154	-211.012	3.167
79.138	-210.989	3.165
79.192	-211.007	3.163
79.152	-211.017	3.182
79.183	-211.037	3.184
79.149	-211.053	3.184
79.183	-211.012	3.146
79.180	-211.057	3.179
79.192	-211.020	3.217
79.161	-211.021	3.180
79.211	-211.028	3.229
79.202	-211.031	3.226
79.194	-211.041	3.215
79.206	-211.059	3.200
79.240	-211.026	3.187
79.201	-211.056	3.191
79.214	-211.073	3.191
79.236	-211.023	3.190
79.215	-211.005	3.172
79.215	-211.040	3.204
79.209	-211.017	3.199
79.206	-210.983	3.186
