Head_X	Head_Y	Head_Z	LHand_X	LHand_Y	LHand_Z	RHand_X	RHand_Y	RHand_Z

0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.643	0.851	0.000	0.000	0.269	0.366	0.000	0.210	0.441
1.041	2.371	0.541	0.399	1.464	1.503	0.418	1.403	1.553
1.665	2.688	0.793	0.891	1.917	2.212	1.088	2.002	1.952
1.892	2.688	1.009	0.891	1.917	2.212	1.088	2.002	1.952
1.892	2.688	1.009	0.891	1.917	2.212	1.088	2.002	1.952
1.892	2.688	1.009	0.891	1.917	2.212	1.088	2.002	1.952
1.892	2.688	1.009	0.891	1.917	2.212	1.088	2.002	1.952
1.892	2.688	1.009	0.891	1.917	2.212	1.088	2.002	1.952
1.892	2.688	1.009	0.891	1.917	2.212	1.088	2.002	1.952
2.126	2.688	1.009	0.891	1.917	2.212	1.088	2.002	1.952
2.126	2.688	1.009	0.891	1.917	2.212	1.088	2.002	1.952
2.126	2.688	1.009	0.891	1.917	2.212	1.088	2.002	1.952
2.126	2.688	1.220	0.891	1.917	2.212	1.088	2.002	1.952
2.126	2.688	1.220	0.891	1.917	2.212	1.088	2.002	1.952
2.126	2.688	1.220	0.891	1.917	2.212	1.088	2.002	1.952
2.126	2.688	1.220	0.891	1.917	2.212	1.088	2.002	1.952
2.126	2.688	1.220	0.891	1.917	2.212	1.088	2.002	1.952
2.126	2.688	1.220	0.891	1.917	2.212	1.088	2.002	1.952
2.126	2.688	1.220	0.891	1.917	2.212	1.088	2.002	1.952
2.126	2.688	1.220	0.891	1.917	2.212	1.088	2.002	1.952
2.326	2.688	1.220	0.891	1.917	2.212	1.088	2.002	1.952
2.326	2.688	1.220	0.891	1.917	2.212	1.088	2.002	1.952
2.326	2.688	1.220	0.891	1.917	2.212	1.088	2.002	1.952
2.326	2.688	1.220	0.891	1.917	2.212	1.088	2.002	1.952
2.326	2.688	1.220	0.891	1.917	2.212	1.088	2.002	1.952
