P1_hand_lP1_hands_pos_X	P1_hand_lP1_hands_pos_Y	P1_hand_lP1_hands_pos_Z	P1_hand_rP1_hands_pos_X	P1_hand_rP1_hands_pos_Y	P1_hand_rP1_hands_pos_Z


85.079	206.855	766.820	164.153	-4.361	770.111
85.074	206.852	766.819	164.164	-4.335	770.099
85.108	206.832	766.820	164.154	-4.347	770.099
85.085	206.844	766.815	164.162	-4.338	770.103
85.092	206.846	766.833	164.150	-4.333	770.115
85.277	207.124	766.454	164.303	-4.151	769.670
84.680	205.929	767.590	163.736	-5.345	770.782
85.172	206.382	766.881	164.406	-4.746	770.383
85.179	206.354	766.882	164.317	-4.773	770.316
85.165	206.346	766.846	164.331	-4.774	770.315
85.186	206.332	766.871	164.332	-4.779	770.332
85.153	206.319	766.835	164.340	-4.777	770.323
85.199	206.310	766.862	164.348	-4.783	770.311
85.190	206.291	766.826	164.352	-4.776	770.313
85.199	206.283	766.848	164.359	-4.808	770.302
85.217	206.269	766.839	164.371	-4.818	770.331
85.228	206.264	766.852	164.377	-4.814	770.313
85.224	206.256	766.844	164.371	-4.856	770.359
85.215	206.236	766.850	164.361	-4.832	770.311
85.220	206.257	766.847	164.380	-4.841	770.326
85.196	206.220	766.825	164.375	-4.855	770.335
85.209	206.214	766.813	164.364	-4.864	770.346
85.211	206.206	766.838	164.361	-4.845	770.305
85.190	206.232	766.807	164.343	-4.845	770.330
85.207	206.225	766.802	164.347	-4.834	770.312
85.189	206.224	766.806	164.349	-4.856	770.323
85.223	206.223	766.827	164.342	-4.813	770.295
85.203	206.228	766.825	164.347	-4.798	770.286
85.223	206.222	766.830	164.318	-4.721	770.266
85.215	206.218	766.824	164.284	-4.618	770.244
85.197	206.232	766.844	164.336	-4.605	770.124
85.195	206.221	766.831	164.344	-4.608	770.131
85.202	206.251	766.836	164.346	-4.609	770.132
85.189	206.218	766.810	164.357	-4.611	770.130
85.183	206.228	766.803	164.343	-4.590	770.138
85.183	206.220	766.825	164.333	-4.614	770.141
85.181	206.226	766.832	164.333	-4.627	770.159
85.189	206.217	766.821	164.318	-4.648	770.158
85.154	206.221	766.807	164.326	-4.655	770.171
85.166	206.186	766.807	164.334	-4.665	770.172
85.168	206.182	766.816	164.321	-4.655	770.182
85.157	206.184	766.801	164.315	-4.690	770.188
85.182	206.178	766.828	164.314	-4.699	770.203
85.149	206.169	766.817	164.297	-4.683	770.162
85.166	206.179	766.841	164.304	-4.679	770.192
85.141	206.180	766.797	164.301	-4.658	770.156
85.165	206.172	766.819	164.293	-4.678	770.158
85.160	206.183	766.826	164.288	-4.664	770.138
85.172	206.168	766.809	164.285	-4.650	770.145
85.164	206.173	766.808	164.282	-4.642	770.147
85.140	206.182	766.778	164.280	-4.647	770.127
85.167	206.180	766.806	164.276	-4.650	770.131
85.168	206.169	766.798	164.288	-4.642	770.146
85.182	206.165	766.804	164.289	-4.656	770.139
85.156	206.194	766.793	164.294	-4.639	770.142
85.190	206.177	766.808	164.293	-4.650	770.137
85.191	206.184	766.818	164.324	-4.654	770.147
85.203	206.180	766.810	164.331	-4.675	770.134
85.182	206.182	766.787	164.323	-4.667	770.161
