P1_pos_hand_l	P1_pos_hand_r

798.774	787.424
798.772	787.414
798.771	787.412
798.767	787.418
798.786	787.426
798.513	787.023
799.232	787.999
798.720	787.745
798.715	787.661
798.677	787.663
798.699	787.680
798.658	787.672
798.687	787.663
798.646	787.665
798.666	787.656
798.655	787.687
798.668	787.671
798.658	787.714
798.657	787.666
798.661	787.684
798.627	787.692
798.616	787.701
798.638	787.659
798.613	787.680
798.608	787.664
798.609	787.675
798.633	787.646
798.631	787.637
798.636	787.612
798.628	787.583
798.649	787.476
798.633	787.485
798.646	787.486
798.612	787.486
798.607	787.491
798.626	787.492
798.634	787.510
798.622	787.506
798.606	787.520
798.598	787.523
798.606	787.530
798.591	787.535
798.618	787.550
798.601	787.505
798.629	787.536
798.584	787.500
798.606	787.501
798.615	787.480
798.596	787.487
798.596	787.487
798.566	787.468
798.595	787.471
798.586	787.487
798.592	787.481
798.586	787.485
798.599	787.480
798.611	787.497
798.603	787.485
798.580	787.510
798.588	787.517
798.612	787.537
798.618	787.540
798.599	787.532
798.577	787.550
798.583	787.549
798.582	787.536
798.596	787.511
798.570	787.519
798.569	787.503
798.568	787.489
798.553	787.489
798.599	787.490
798.582	787.510
798.757	787.496
798.756	787.507
798.731	787.482
798.749	787.477
798.760	787.485
798.737	787.476
798.732	787.477
798.741	787.472
798.740	787.479
798.731	787.501
798.715	787.495
798.743	787.502
798.716	787.495
798.729	787.479
798.732	787.491
798.748	787.493
798.758	787.494
798.745	787.499
798.740	787.471
798.732	787.483
798.747	787.460
798.741	787.470
798.754	787.471
798.763	787.474
798.762	787.435
798.756	787.455
798.761	787.466
798.770	787.473
798.753	787.469
798.759	787.482
798.768	787.487
798.779	787.467
798.771	787.490
798.746	787.503
798.770	787.494
798.739	787.510
798.744	787.512
798.761	787.521
798.766	787.510
798.743	787.477
798.756	787.486
798.760	787.494
798.755	787.493
798.751	787.472
798.753	787.503
798.759	787.506
798.750	787.486
798.718	787.504
798.753	787.502
798.763	787.519
798.748	787.498
798.748	787.492
798.759	787.493
798.757	787.488
798.752	787.521
798.752	787.497
798.734	787.517
798.741	787.495
798.731	787.493
798.727	787.502
798.712	787.496
798.705	787.497
798.714	787.499
798.689	787.522
798.681	787.540
798.735	787.537
798.731	787.509
798.722	787.519
798.731	787.520
798.719	787.534
798.728	787.550
798.724	787.542
798.715	787.557
798.708	787.519
798.690	787.515
798.712	787.524
798.712	787.533
798.709	787.531
798.724	787.526
798.720	787.533
798.715	787.552
798.717	787.521
798.720	787.513
798.709	787.521
798.711	787.523
798.692	787.529
798.716	787.537
798.725	787.551
798.715	787.552
798.718	787.523
798.699	787.539
798.709	787.530
798.712	787.542
798.711	787.545
798.716	787.556
798.728	787.571
798.730	787.573
798.723	787.565
798.709	787.540
798.704	787.525
798.707	787.530
798.686	787.516
798.701	787.517
798.703	787.537
798.710	787.532
798.710	787.556
798.705	787.552
798.712	787.600
798.726	787.665
798.730	787.798
798.759	787.994
798.827	788.190
798.918	788.487
799.051	788.842
799.264	789.262
799.624	789.774
800.011	790.529
800.528	791.381
801.026	792.222
801.569	793.372
802.194	794.456
802.936	795.721
803.597	797.165
804.261	798.607
805.002	800.233
805.863	801.791
807.073	803.407
808.202	805.240
809.815	807.240
811.882	809.467
814.340	812.059
817.386	815.086
821.047	818.567
826.140	822.485
830.938	826.860
836.256	831.743
842.245	837.019
848.837	842.681
856.044	848.630
863.569	854.921
871.603	861.430
879.790	867.989
888.200	875.050
896.516	882.028
904.808	888.914
912.855	896.014
920.446	902.937
927.797	910.121
934.921	917.072
941.811	923.909
948.281	930.271
954.173	936.665
959.552	942.703
964.150	948.420
968.230	953.678
971.262	958.527
974.428	962.730
977.131	966.627
979.560	970.227
981.407	973.340
982.984	976.119
984.317	978.580
985.339	980.832
986.429	982.765
987.203	984.401
987.599	985.695
988.054	986.770
988.222	987.635
988.340	988.287
988.327	988.719
988.028	989.080
987.706	989.177
987.155	989.215
986.633	988.997
986.116	988.573
985.655	988.035
985.281	987.300
984.955	986.670
984.698	986.324
984.604	986.022
984.706	985.864
985.165	986.137
985.773	986.709
986.230	987.204
986.787	987.691
987.095	988.003
987.440	988.311
987.609	988.512
987.727	988.522
987.801	988.500
987.794	988.491
987.854	988.621
987.843	988.808
987.975	989.148
988.189	989.355
988.614	989.648
988.964	989.894
989.347	990.252
989.811	990.436
990.296	990.652
990.769	990.912
991.068	991.299
991.380	991.703
991.648	992.055
991.866	992.231
992.184	992.516
992.516	992.709
992.746	992.968
993.102	993.217
993.611	993.624
