Head	LHand	RHand


0.000	0.000	0.000
4.237	1.851	0.908
4.062	0.711	0.279
4.430	1.264	1.086
50.656	24.768	24.613
44.738	62.901	64.065
61.920	43.112	46.710
33.710	48.245	46.946
16.180	2.515	5.270
4.214	1.290	1.122
4.911	1.603	0.612
4.933	1.334	1.331
4.745	2.313	0.738
4.995	1.503	1.463
3.407	1.886	2.468
3.644	1.764	1.070
3.851	0.742	2.352
3.137	1.527	1.185
2.872	0.248	1.833
2.273	1.779	1.798
1.754	2.806	1.714
1.539	1.219	1.728
1.614	1.328	1.615
0.854	2.045	1.008
1.741	0.407	0.704
2.657	1.488	1.374
1.680	1.219	3.472
1.014	0.168	4.960
1.346	0.772	9.745
2.442	1.553	9.222
1.692	1.068	6.396
1.243	1.063	0.673
2.192	1.117	0.664
1.534	2.208	0.985
2.895	0.806	1.330
3.332	1.457	2.163
3.128	0.363	2.021
3.975	1.850	1.593
3.853	2.042	1.373
4.298	2.102	0.617
6.619	0.522	1.751
5.422	0.956	2.435
5.657	1.148	1.613
7.139	1.027	1.269
6.351	1.187	1.300
6.232	1.136	1.757
6.249	1.747	1.144
7.258	0.623	1.611
7.332	1.069	1.225
7.530	2.358	0.959
9.273	0.426	0.954
8.688	1.849	1.043
8.230	1.049	0.803
8.716	1.413	0.370
8.956	0.762	0.396
10.728	2.206	1.679
12.596	0.658	2.293
11.736	1.610	0.964
14.323	1.524	1.637
16.277	1.773	2.128
15.748	1.841	1.264
17.803	0.996	1.076
19.025	2.397	0.597
20.853	1.239	0.998
25.161	0.330	1.818
32.648	0.739	2.159
38.282	1.736	1.010
40.018	1.542	0.466
47.739	1.370	1.734
52.956	0.985	0.769
52.059	1.990	0.784
55.780	1.759	2.443
55.263	11.353	0.524
63.968	11.942	0.617
79.038	2.728	1.406
78.840	0.525	2.088
79.322	4.339	0.704
95.763	1.885	0.287
102.361	2.028	1.206
91.035	1.253	0.226
92.221	1.127	1.381
96.223	0.903	2.412
94.415	1.828	2.465
96.225	1.340	1.065
97.989	1.070	0.906
95.556	0.798	2.061
92.892	2.150	1.595
92.551	2.944	1.663
88.491	1.543	1.662
86.435	0.293	1.031
88.845	2.253	1.629
81.147	2.525	1.548
77.075	1.080	0.972
78.061	1.968	0.938
72.256	0.496	0.667
67.871	1.163	0.994
69.131	0.561	1.819
63.667	0.961	2.661
57.669	1.332	2.202
57.972	0.827	1.791
55.852	1.796	0.949
51.019	1.694	1.691
45.737	0.864	2.228
47.138	1.091	1.379
47.811	0.415	1.771
42.160	1.765	1.970
37.827	1.104	1.002
35.621	0.690	1.006
35.235	2.269	1.009
35.232	1.665	1.458
33.662	1.549	1.748
32.067	1.710	3.287
30.944	0.918	1.424
27.417	1.861	1.910
23.567	0.253	2.195
23.034	1.110	2.563
24.470	0.676	1.800
25.334	0.601	2.074
22.781	0.897	2.148
20.526	2.118	1.294
20.316	0.587	1.578
19.450	3.256	1.515
16.574	0.507	1.771
14.105	1.271	1.518
13.473	0.629	1.133
12.949	1.210	0.698
12.158	1.229	1.514
11.425	0.316	0.943
9.591	0.996	0.980
7.913	1.247	1.459
7.695	0.467	1.612
6.692	0.809	0.852
5.607	1.474	0.572
