
P1_elbow_lP1_whole_dist_traveled	P1_shoulder_lP1_whole_dist_traveled	P1_headP1_whole_dist_traveled	P1_hand_lP1_whole_dist_traveled	P1_hand_rP1_whole_dist_traveled	P1_elbow_rP1_whole_dist_traveled	P1_shoulder_rP1_whole_dist_traveled


0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	1.113
0.000	0.000	0.000	0.000	0.000	0.000	1.113
0.000	0.000	0.000	0.000	0.000	0.000	2.240
0.000	0.000	0.000	0.000	0.000	0.000	2.240
3.300	0.987	1.072	0.496	0.510	1.007	2.954
6.883	2.628	2.703	2.250	2.238	2.361	3.963
7.548	3.253	3.446	3.225	3.222	2.361	3.963
7.548	3.253	3.762	3.225	3.222	2.361	3.963
7.548	3.253	3.762	3.225	3.222	2.361	3.963
7.548	3.253	3.762	3.225	3.222	2.361	3.963
7.548	3.253	3.762	3.225	3.222	2.361	3.963
7.548	3.253	3.762	3.225	3.222	2.361	3.963
7.548	3.253	3.996	3.225	3.222	2.589	3.963
7.548	3.253	3.996	3.225	3.222	2.589	3.963
7.548	3.253	3.996	3.225	3.222	2.589	3.963
7.548	3.457	3.996	3.225	3.222	2.589	3.963
7.548	3.457	3.996	3.225	3.222	2.589	3.963
7.548	3.457	3.996	3.225	3.222	2.589	3.963
7.548	3.457	4.197	3.225	3.222	2.589	3.963
7.548	3.457	4.197	3.225	3.222	2.589	3.963
7.548	3.457	4.197	3.225	3.222	2.916	3.963
7.548	3.457	4.197	3.225	3.222	2.916	3.963
7.548	3.457	4.197	3.225	3.222	2.916	3.963
7.548	3.457	4.197	3.225	3.222	2.916	3.963
7.548	3.457	4.197	3.225	3.222	2.916	3.963
7.548	3.457	4.197	3.225	3.222	2.916	3.963
7.548	3.457	4.197	3.225	3.222	2.916	3.963
7.548	3.457	4.197	3.225	3.222	2.916	3.963
7.548	3.457	4.197	3.225	3.446	2.916	3.963
7.548	3.457	4.197	3.225	3.446	3.390	3.963
7.548	3.457	4.197	3.225	3.446	3.390	3.963
7.548	3.457	4.197	3.225	3.446	3.390	3.963
7.548	3.457	4.397	3.225	3.446	3.390	3.963
7.548	3.457	4.397	3.225	3.446	3.390	3.963
7.548	3.457	4.397	3.225	3.446	3.390	3.963
7.548	3.457	4.397	3.225	3.446	3.390	3.963
7.548	3.457	4.397	3.225	3.446	3.390	3.963
7.548	3.457	4.397	3.225	3.446	3.390	3.963
7.548	3.457	4.397	3.435	3.446	3.390	3.963
7.548	3.457	4.636	3.435	3.446	3.390	3.963
7.548	3.457	4.636	3.435	3.446	3.390	3.963
7.755	3.457	4.636	3.435	3.446	3.390	3.963
7.755	3.457	4.636	3.435	3.446	3.390	3.963
7.755	3.457	4.888	3.435	3.446	3.390	3.963
7.755	3.457	4.888	3.435	3.446	3.390	3.963
7.755	3.457	4.888	3.435	3.446	3.390	3.963
7.755	3.457	4.888	3.435	3.446	3.390	3.963
7.755	3.457	5.156	3.435	3.446	3.390	3.963
7.755	3.457	5.156	3.435	3.446	3.390	3.963
7.755	3.457	5.156	3.435	3.446	3.390	3.963
7.755	3.457	5.392	3.435	3.446	3.390	3.963
