P1_head_pos_head_X	P1_head_pos_head_Y	P1_head_pos_head_Z


-139.562	42.368	1271.287
-139.520	42.383	1271.275
-139.480	42.374	1271.266
-139.447	42.367	1271.245
-139.400	42.361	1271.231
-138.919	43.219	1271.392
-139.317	41.699	1271.827
-138.693	42.016	1271.576
-138.920	41.978	1271.360
-138.887	41.965	1271.321
-138.848	41.978	1271.316
-138.800	41.996	1271.287
-138.766	41.969	1271.263
-138.731	41.990	1271.222
-138.687	41.976	1271.202
-138.668	41.986	1271.197
-138.624	41.981	1271.165
-138.608	41.988	1271.148
-138.573	41.989	1271.129
-138.556	41.986	1271.123
-138.537	41.973	1271.107
-138.523	41.989	1271.113
-138.508	41.981	1271.102
-138.506	41.964	1271.101
-138.514	41.981	1271.086
-138.487	41.972	1271.073
-138.471	41.967	1271.058
-138.458	41.965	1271.057
-138.455	41.969	1271.046
-138.459	41.970	1271.030
-138.427	41.962	1271.006
-138.427	41.971	1271.019
-138.417	41.984	1271.001
-138.419	41.982	1270.977
-138.404	41.974	1270.975
-138.368	41.990	1270.953
-138.357	41.970	1270.928
-138.327	41.988	1270.905
-138.290	41.999	1270.897
-138.252	41.980	1270.888
-138.214	42.018	1270.860
-138.153	42.029	1270.816
-138.122	42.035	1270.806
-138.053	42.047	1270.767
-137.998	42.063	1270.740
-137.948	42.066	1270.698
-137.900	42.089	1270.668
-137.851	42.118	1270.638
-137.780	42.090	1270.586
-137.739	42.083	1270.550
-137.662	42.040	1270.507
-137.600	41.986	1270.474
-137.521	41.949	1270.463
-137.460	41.904	1270.450
-137.373	41.861	1270.435
-137.305	41.814	1270.438
-137.204	41.729	1270.429
-137.102	41.666	1270.430
-137.019	41.584	1270.426
-136.879	41.490	1270.392
-136.749	41.412	1270.369
-136.613	41.335	1270.325
-136.454	41.238	1270.273
-136.299	41.162	1270.197
-136.114	41.058	1270.110
-135.879	40.954	1270.014
-135.581	40.791	1269.843
-135.263	40.628	1269.696
-134.950	40.419	1269.522
-134.539	40.132	1269.321
-134.104	39.914	1269.132
-133.677	39.700	1268.927
-133.190	39.429	1268.716
-132.799	39.169	1268.518
-132.215	38.769	1268.216
-131.604	38.332	1267.909
-131.045	37.894	1267.623
-130.391	37.487	1267.333
-129.767	36.832	1266.670
-129.086	36.272	1266.326
-128.477	35.711	1266.041
-127.763	35.133	1265.731
-127.051	34.590	1265.400
-126.383	34.003	1265.111
-125.698	33.352	1264.817
-125.011	32.731	1264.530
-124.323	32.150	1264.252
-123.729	31.510	1263.966
-123.110	30.841	1263.760
-122.531	30.295	1263.495
-121.939	29.680	1263.242
-121.363	29.049	1263.005
-120.903	28.518	1262.784
-120.379	27.947	1262.566
-119.874	27.416	1262.379
-119.420	26.928	1262.205
-118.993	26.434	1262.058
-118.558	25.910	1261.840
-118.197	25.512	1261.689
-117.814	25.100	1261.493
-117.432	24.704	1261.363
-117.082	24.297	1261.234
-116.762	23.987	1261.082
-116.474	23.685	1260.930
-116.133	23.348	1260.790
-115.812	23.055	1260.649
-115.559	22.774	1260.562
-115.310	22.526	1260.445
-115.095	22.286	1260.330
-114.852	22.028	1260.249
-114.618	21.799	1260.150
-114.387	21.578	1260.063
