P2_hands_comp_Distance_X	P2_hands_comp_Distance_Y	P2_hands_comp_Distance_Z


-68.551	143.169	1.018
-68.386	143.553	0.875
-70.062	142.631	1.055
-68.176	140.038	-0.477
-67.775	139.113	-0.712
-68.032	140.801	-0.075
-67.925	140.961	-0.664
-67.922	140.870	-0.861
-67.786	141.032	-1.079
-67.854	140.983	-1.103
-68.027	140.870	-1.011
-68.091	140.831	-0.995
-68.138	140.832	-1.087
-68.161	140.870	-1.158
-68.162	140.918	-1.224
-68.142	141.049	-1.338
-68.092	141.282	-1.386
-68.045	141.558	-1.470
-67.926	141.825	-1.679
-67.780	142.156	-1.804
-67.621	142.502	-1.922
-67.457	142.845	-2.056
-67.301	143.175	-2.186
-67.106	143.465	-2.302
-66.894	143.721	-2.412
-66.654	143.937	-2.550
-66.373	144.129	-2.671
-66.099	144.284	-2.853
-65.825	144.427	-2.972
-65.527	144.557	-3.108
-65.405	144.778	-3.028
-64.996	144.866	-3.350
-64.727	145.075	-3.467
-64.593	145.411	-3.489
-64.304	145.708	-3.710
-63.976	145.974	-4.060
-63.498	146.264	-4.032
-63.251	146.759	-4.231
-63.012	147.119	-4.454
-62.816	147.545	-4.587
-62.615	147.948	-4.820
-62.505	148.364	-4.962
-62.367	148.725	-4.998
-62.378	149.296	-5.043
-62.442	149.882	-4.969
-62.467	150.518	-4.850
-62.501	150.990	-4.792
-62.525	151.508	-4.596
-62.525	152.011	-4.450
-62.475	152.490	-4.315
-62.406	152.867	-4.182
-62.298	153.065	-4.121
-62.221	153.198	-4.040
-62.274	153.227	-3.966
-62.323	152.946	-3.788
-62.400	152.455	-3.466
-62.595	151.900	-2.973
-62.550	150.983	-2.410
-62.748	150.231	-1.325
-63.021	149.519	-0.240
-63.170	149.127	0.658
-63.046	149.455	1.212
-63.086	149.773	1.116
-63.084	150.008	0.621
-62.948	150.107	0.068
-62.796	150.170	-0.363
-62.633	150.291	-0.607
-62.534	150.398	-0.653
-62.515	150.473	-0.521
-62.547	149.982	-0.348
-62.645	150.617	-0.110
-62.742	150.668	-0.039
-62.837	150.653	-0.034
-62.938	150.518	-0.132
-63.017	150.376	-0.202
-63.049	150.172	-0.208
-63.069	149.955	-0.146
-63.047	149.737	-0.056
-63.014	149.483	0.020
-62.945	149.283	0.067
-62.880	149.009	0.065
-62.766	148.827	0.057
-62.649	148.658	0.020
-62.530	148.466	-0.015
-62.407	148.373	-0.025
-62.282	148.328	-0.030
-62.181	148.264	-0.034
-62.088	148.270	-0.059
-62.033	148.290	-0.062
-62.004	148.332	-0.103
-61.982	148.401	-0.151
-62.014	148.451	-0.173
-62.064	148.536	-0.156
-62.130	148.590	-0.144
-62.227	148.682	-0.120
-62.380	148.768	-0.102
-62.503	148.827	-0.075
-62.656	148.894	-0.024
-62.823	148.947	0.016
-63.000	148.933	0.055
-63.157	148.941	0.117
-63.310	148.954	0.173
-63.465	148.983	0.201
-63.585	149.055	0.238
-63.674	149.172	0.235
-63.673	149.303	0.199
-63.546	149.530	0.122
-63.297	149.815	-0.022
-62.819	150.148	-0.284
-62.244	150.582	-0.686
-61.490	150.967	-1.272
-60.848	151.459	-1.898
-59.935	151.798	-3.024
