RHand	Head	LHand

0.000	0.000	0.000
21.666	89.944	92.524
21.426	94.094	203.383
22.279	96.092	239.735
99.237	200.591	61.341
84.730	167.196	50.781
44.903	87.696	41.410
32.385	82.914	50.614
13.766	105.732	10.694
14.394	105.035	24.087
14.146	118.482	23.644
14.589	116.174	14.220
17.539	112.862	12.169
17.589	121.659	11.629
19.046	115.073	8.966
21.806	119.747	5.879
22.248	122.424	6.414
22.484	113.026	10.398
23.760	114.220	14.384
22.132	111.738	17.743
21.149	106.671	20.657
19.872	107.634	22.899
18.083	105.299	23.686
16.763	105.207	23.511
16.249	106.131	22.657
17.726	100.616	21.754
20.611	100.989	20.779
21.519	103.973	19.219
21.307	106.529	17.783
12.408	108.559	16.663
22.550	103.721	15.991
33.264	106.638	15.950
20.919	113.221	15.934
26.572	117.225	17.150
39.441	115.011	17.769
34.706	111.113	22.014
31.821	116.120	29.441
35.568	113.262	31.479
33.405	106.535	31.323
33.065	108.034	34.947
33.144	89.646	35.575
35.947	77.604	41.453
35.071	87.111	50.419
28.507	87.601	57.579
26.541	80.436	62.334
27.242	70.290	59.243
26.754	63.780	58.858
26.201	55.701	62.139
26.432	51.197	60.581
25.924	50.551	58.136
28.735	46.207	52.227
35.741	39.967	50.285
39.828	34.346	48.137
63.068	31.115	49.160
95.241	32.824	52.868
113.494	36.001	51.138
130.861	37.431	45.008
151.785	37.105	44.174
165.093	38.677	47.340
148.186	39.027	49.334
88.771	40.759	49.411
25.002	40.663	42.431
31.628	35.863	33.655
54.321	34.904	27.263
51.497	34.887	22.173
34.028	35.643	19.091
16.463	37.733	16.244
6.659	36.874	12.498
19.479	34.062	20.650
21.068	33.039	4.455
14.395	31.945	28.517
10.510	29.493	8.431
8.806	27.841	13.834
14.009	25.924	16.979
9.773	23.730	20.470
6.238	21.317	22.337
6.913	20.391	22.056
10.075	22.459	21.930
11.988	23.105	20.867
13.704	21.969	20.799
14.837	19.229	19.316
15.323	16.527	13.942
17.844	17.007	11.977
15.139	14.712	9.738
11.973	13.040	4.974
10.646	13.713	2.715
7.947	12.838	3.386
5.581	13.144	5.656
2.556	11.420	5.597
1.976	8.267	7.648
6.213	7.348	8.832
8.306	8.522	7.756
9.535	9.962	6.789
10.204	13.422	7.000
12.671	18.393	7.018
14.887	20.078	5.492
13.175	26.554	5.762
13.666	33.024	5.496
16.578	37.164	1.569
14.962	43.414	4.659
13.054	47.708	4.249
16.719	56.439	4.210
16.589	68.432	3.121
17.784	72.356	3.939
21.396	71.265	10.966
23.580	77.893	14.191
33.598	79.123	20.645
44.301	78.095	32.727
57.311	78.663	43.460
69.041	76.679	57.751
77.654	76.793	74.375
85.511	72.058	88.277
88.928	66.677	98.188
74.414	62.931	115.776
62.542	64.335	109.474
63.154	64.403	62.111
53.098	64.051	26.269
40.254	67.290	22.025
37.428	66.972	40.143
35.004	67.650	50.111
29.705	73.817	46.959
28.889	83.619	32.766
28.325	87.823	25.141
30.095	86.218	25.528
32.780	89.363	26.594
39.536	95.922	28.449
55.795	97.802	31.588
72.076	104.477	39.826
86.674	110.843	46.307
97.566	111.973	60.053
121.505	112.654	80.929
152.090	114.231	86.182
142.866	117.367	76.906
89.498	115.572	70.702
36.562	113.665	70.988
26.319	110.011	80.626
42.968	108.929	63.589
57.462	104.082	42.287
52.403	92.123	25.758
36.905	86.376	17.842
19.079	78.460	12.870
13.059	63.590	13.576
16.930	55.287	15.579
16.756	52.071	16.992
11.930	37.840	18.705
3.239	27.870	19.403
7.438	28.516	18.148
8.737	21.403	17.384
8.974	32.280	18.806
5.417	30.637	18.146
4.893	13.444	12.090
9.268	13.584	8.571
10.584	11.586	9.339
10.620	10.998	11.802
9.385	12.941	11.354
7.984	13.904	11.543
9.907	12.918	11.948
8.388	11.256	10.383
6.815	13.109	9.428
7.055	15.939	7.566
3.388	18.975	4.869
3.193	20.923	4.492
3.628	24.083	4.799
1.375	27.439	6.872
1.881	27.570	9.402
4.950	31.222	16.257
2.272	30.441	20.339
3.206	28.863	29.119
9.122	36.835	45.981
10.602	42.763	66.817
16.259	40.618	72.754
23.505	38.076	87.736
31.931	37.590	121.413
47.761	40.731	148.580
70.036	43.333	170.643
84.873	42.965	188.330
92.796	40.878	203.639
100.221	38.391	219.233
107.105	42.076	215.697
107.402	48.501	171.941
90.908	49.931	108.667
70.807	49.924	53.653
58.057	51.150	42.559
47.436	51.410	42.727
38.446	49.813	37.508
30.199	48.431	24.430
23.567	47.547	23.865
15.550	48.779	30.654
9.376	46.365	37.775
10.214	43.518	45.674
15.808	42.009	57.348
30.510	34.314	69.306
51.928	26.915	82.527
72.805	22.787	110.950
97.874	19.589	125.271
127.441	12.266	120.803
163.410	5.476	125.421
199.727	6.407	127.892
221.176	8.027	126.208
243.619	12.020	104.339
253.474	19.119	78.948
200.315	21.988	62.968
114.048	25.266	37.509
63.426	28.403	14.508
42.807	29.703	12.305
32.810	33.227	37.313
27.431	34.953	61.644
15.335	34.761	76.898
6.216	35.280	102.726
3.931	33.861	119.558
9.438	34.746	125.240
14.168	31.790	135.512
10.500	25.610	154.248
5.802	20.683	173.750
5.489	14.492	177.550
5.609	9.630	175.398
9.834	8.559	128.675
6.927	17.194	57.172
8.981	26.686	33.402
11.708	35.403	42.355
12.288	40.353	45.688
9.476	42.799	30.537
6.003	47.963	9.942
5.532	53.975	14.391
6.262	61.077	20.715
6.737	65.679	18.351
5.755	63.958	11.392
4.895	61.844	9.505
2.395	60.448	11.753
2.722	59.978	10.630
2.447	58.816	5.083
2.755	58.771	3.117
3.088	59.748	5.664
3.187	57.126	8.684
1.619	51.315	7.636
2.789	43.944	8.028
3.078	39.392	6.861
2.409	39.357	4.580
2.283	40.133	3.224
2.995	38.269	2.486
2.962	37.042	1.157
2.015	38.624	1.096
1.091	34.961	2.419
1.280	30.168	3.562
3.123	30.076	4.300
5.074	30.149	2.475
6.817	31.793	3.380
7.479	35.916	2.281
7.934	43.298	2.151
10.656	52.987	4.180
17.924	59.437	10.165
28.600	61.459	18.579
36.745	67.574	28.867
44.803	81.050	45.529
55.912	93.428	68.860
72.067	96.718	94.077
96.301	97.121	128.918
122.646	103.214	176.151
141.926	110.912	207.629
160.864	110.730	221.166
181.198	106.735	238.431
186.201	110.212	233.109
184.702	106.681	212.878
162.870	99.587	192.260
144.916	96.733	165.548
130.648	87.521	146.813
94.507	81.046	109.526
67.305	73.523	65.028
45.923	62.926	40.078
27.188	54.409	28.616
17.509	43.361	36.962
14.983	37.583	48.625
20.486	34.659	51.747
30.149	27.492	50.313
38.395	20.264	48.988
46.259	15.591	50.884
51.672	11.620	48.070
58.087	9.793	41.754
70.314	9.012	52.749
87.840	9.266	61.301
104.187	12.723	50.584
127.445	15.846	59.090
160.150	18.343	85.556
180.781	19.635	107.465
190.125	20.959	133.019
194.860	24.032	144.523
166.465	24.389	158.192
90.934	25.948	172.766
26.878	28.682	171.027
41.254	30.972	160.836
35.343	34.806	125.086
35.533	42.918	69.127
26.242	45.346	19.018
27.280	41.604	31.028
28.377	42.487	50.418
20.448	43.687	56.126
7.811	41.733	54.928
16.013	41.214	53.980
28.305	41.230	54.731
38.481	37.955	57.234
52.938	33.677	55.307
57.869	29.866	53.120
63.891	28.182	54.866
70.683	25.935	63.815
67.631	23.384	64.508
66.261	21.758	62.826
66.265	19.637	61.911
63.643	18.582	56.052
53.099	15.996	47.856
42.261	13.223	33.821
34.392	9.938	19.537
22.095	7.980	9.119
13.521	8.209	15.050
12.176	6.861	31.008
21.796	7.060	51.122
38.718	9.581	65.625
50.320	9.293	76.426
60.536	8.739	85.241
66.639	10.145	89.984
40.944	12.051	85.258
16.287	15.977	77.690
19.813	18.118	62.320
27.577	16.341	34.540
29.355	16.205	20.570
20.743	18.304	20.670
8.705	20.517	21.669
3.808	20.093	19.651
6.952	22.131	12.764
7.919	20.870	2.313
