P2_elbow_rP2whole_dist_traveled	P2_hand_rP2whole_dist_traveled	P2_shoulder_lP2whole_dist_traveled	P2_elbow_lP2whole_dist_traveled	P2_headP2whole_dist_traveled	P2_shoulder_rP2whole_dist_traveled	P2_hand_lP2whole_dist_traveled
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.228	0.438	0.000	0.867	0.635	0.230
0.234	0.435	0.891	0.000	1.838	2.550	2.296
0.234	0.657	1.825	0.000	2.772	3.379	5.939
0.543	0.882	2.234	0.239	3.761	3.971	7.151
2.149	2.656	3.280	1.340	6.796	5.277	7.683
3.022	3.661	3.773	1.761	8.012	5.930	8.285
3.957	4.384	4.487	2.338	9.168	6.507	9.071
4.269	4.384	4.938	2.338	10.593	7.479	9.307
4.269	4.659	5.456	2.565	11.591	8.119	9.307
4.508	4.659	5.950	2.565	12.694	8.749	9.788
4.508	4.942	6.344	2.565	13.961	9.331	9.788
4.730	4.942	6.681	2.818	15.024	9.822	10.073
4.730	5.293	6.943	2.818	16.222	10.374	10.073
4.938	5.293	7.216	2.818	17.458	10.874	10.305
4.938	5.674	7.534	3.048	18.535	11.286	10.305
4.938	5.901	7.824	3.048	19.853	11.725	10.305
5.189	6.119	8.156	3.048	20.984	12.198	10.305
5.189	6.373	8.524	3.048	22.119	12.638	10.562
5.189	6.601	9.013	3.048	23.270	13.106	10.562
5.426	6.817	9.507	3.322	24.355	13.577	10.917
5.426	7.028	10.078	3.322	25.409	14.074	11.139
5.712	7.028	10.726	3.618	26.508	14.679	11.375
5.712	7.389	11.330	3.618	27.516	15.315	11.613
6.105	7.389	11.928	3.985	28.612	15.868	11.846
6.105	7.714	12.718	4.226	29.640	16.456	12.068
6.378	7.714	13.508	4.464	30.626	17.073	12.281
6.378	8.127	14.220	4.709	31.663	17.743	12.484
6.783	8.334	14.952	4.969	32.707	18.450	12.484
7.008	8.553	15.809	5.221	33.797	19.114	12.839
7.378	8.553	16.711	5.430	34.882	19.891	12.839
7.670	9.004	17.678	5.647	35.873	20.767	13.159
7.975	9.235	18.543	5.874	37.017	21.553	13.159
8.353	9.445	19.486	5.874	38.143	22.400	13.478
8.776	9.797	20.477	6.269	39.362	23.254	13.478
9.168	10.243	21.452	6.483	40.443	24.163	13.833
