RHand_X	RHand_Y	RHand_Z	LHand_X	LHand_Y	LHand_Z	Head_X	Head_Y	Head_Z


0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.254	0.520	0.000
0.000	0.000	0.218	0.000	0.000	0.000	0.637	1.227	0.245
0.235	0.000	0.218	0.000	0.000	0.000	1.065	2.009	0.245
0.235	0.000	0.218	0.000	0.219	0.000	1.446	2.894	0.465
0.580	0.000	1.171	0.284	0.769	0.000	1.938	3.543	0.465
1.131	1.184	2.371	0.284	0.769	0.000	2.208	5.903	1.199
1.426	1.859	3.269	0.513	1.210	0.564	3.170	7.167	1.588
1.426	1.859	3.481	0.513	1.210	0.564	3.982	8.859	1.588
1.426	1.859	3.758	0.761	1.415	0.795	4.655	10.718	1.890
1.426	1.859	4.069	0.761	1.415	0.795	5.346	13.015	1.890
1.426	1.859	4.369	1.101	1.693	1.100	6.277	15.195	2.290
1.426	1.859	4.759	1.316	1.693	1.100	6.905	17.876	2.290
1.426	2.137	5.205	1.517	2.024	1.415	7.672	20.604	2.715
1.426	2.137	5.666	1.791	2.024	1.415	8.338	23.536	2.951
1.426	2.359	6.131	2.022	2.354	1.629	8.960	26.599	3.249
1.426	2.359	6.583	2.331	2.354	1.629	9.460	29.772	3.476
1.426	2.620	7.135	2.684	2.632	1.629	9.989	33.073	3.697
1.656	2.877	7.583	2.994	2.632	1.855	11.840	36.516	4.903
1.656	3.090	7.891	3.262	2.849	1.855	12.298	39.947	4.903
1.656	3.090	8.161	3.490	2.849	1.855	12.634	43.586	5.114
1.948	3.503	8.161	3.490	2.849	1.855	12.921	47.222	5.114
1.948	3.803	8.466	3.855	2.849	1.855	13.156	50.919	5.114
2.291	4.071	8.466	3.855	2.849	1.855	13.382	54.736	5.114
2.291	4.383	8.466	4.250	3.063	2.193	13.628	58.527	5.327
2.639	4.640	8.466	4.536	3.063	2.398	13.628	62.391	5.327
2.639	4.986	8.705	4.931	3.271	2.763	13.994	66.133	5.716
2.896	5.342	8.705	5.255	3.271	3.010	13.994	69.939	5.716
2.896	5.700	9.047	5.562	3.633	3.224	13.994	73.628	6.061
2.896	6.049	9.047	5.869	3.880	3.224	13.994	77.195	6.061
2.896	6.475	9.454	6.200	4.109	3.705	13.994	80.752	6.061
2.896	6.928	9.671	6.471	4.339	3.956	14.230	84.005	6.061
2.896	7.385	9.671	6.778	4.696	4.262	14.230	87.222	6.382
3.193	7.937	9.953	7.224	5.093	4.655	14.230	90.116	6.790
3.193	8.457	9.953	7.678	5.529	5.095	14.230	92.975	7.204
3.601	8.892	9.953	8.065	5.930	5.582	14.230	95.497	7.533
3.856	9.324	10.217	8.384	6.362	6.142	14.470	97.905	8.004
4.192	9.785	10.217	8.765	6.848	6.762	14.470	100.279	8.397
4.600	10.270	10.435	9.249	7.388	7.391	14.885	102.228	8.701
4.970	10.701	10.435	9.778	7.942	8.158	15.205	104.167	8.980
5.386	11.074	10.435	10.212	8.546	8.833	15.631	106.021	9.245
5.795	11.414	10.435	10.610	9.221	9.526	16.150	108.193	9.592
6.240	11.692	10.657	11.015	9.791	10.396	16.852	109.633	9.592
