P3_hand_rP3whole_dist_traveled	P3_hand_lP3whole_dist_traveled	P3_shoulder_lP3whole_dist_traveled	P3_elbow_rP3whole_dist_traveled	P3_shoulder_rP3whole_dist_traveled	P3_headP3whole_dist_traveled	P3_elbow_lP3whole_dist_traveled


0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.589	1.317
0.276	0.000	0.306	0.000	0.399	1.404	1.317
0.276	0.210	0.306	0.299	0.671	2.304	2.732
0.507	0.210	0.780	0.299	0.981	3.273	2.732
1.347	0.869	1.650	1.395	1.609	4.090	3.658
3.260	0.869	3.747	2.911	3.031	6.599	4.085
4.422	1.741	4.215	3.182	3.525	8.234	4.546
4.635	1.741	4.838	3.451	4.108	10.114	4.869
4.913	2.137	5.521	3.907	4.741	12.101	5.209
5.226	2.401	6.340	4.378	5.449	14.500	5.603
5.530	2.674	7.252	4.945	6.264	16.897	6.045
5.927	2.988	8.228	5.571	7.168	19.652	6.505
6.393	3.294	9.331	6.232	8.114	22.505	6.905
6.865	3.636	10.468	6.950	9.192	25.522	7.391
7.345	3.934	11.630	7.733	10.258	28.661	7.913
7.806	4.286	12.833	8.541	11.365	31.881	8.373
8.385	4.675	14.008	9.351	12.468	35.232	9.039
8.903	5.017	15.217	10.203	13.616	39.323	9.522
9.280	5.299	16.350	10.951	14.739	42.787	9.957
9.619	5.531	17.490	11.830	15.818	46.443	10.399
9.937	5.531	18.513	12.653	16.887	50.091	10.811
10.317	5.918	19.531	13.440	17.976	53.794	11.217
10.639	6.153	20.456	14.269	18.976	57.621	11.615
11.002	6.430	21.240	15.045	19.883	61.422	12.028
11.310	6.805	22.084	15.843	20.790	65.294	12.410
11.704	7.349	22.671	16.660	21.585	69.047	12.778
12.105	7.796	23.183	17.422	22.304	72.859	13.191
12.517	8.210	23.606	18.267	22.989	76.552	13.560
12.910	8.648	23.979	19.049	23.492	80.119	13.893
13.393	9.144	23.979	19.891	23.877	83.680	14.227
13.901	9.579	24.276	20.697	24.230	86.943	14.488
14.398	10.141	24.276	21.443	24.492	90.172	14.706
14.990	10.855	24.681	22.303	24.492	93.095	14.913
15.550	11.623	25.093	23.007	24.868	95.984	15.149
16.043	12.363	25.520	23.712	25.108	98.529	15.416
16.556	13.139	26.048	24.477	25.364	100.983	15.733
17.139	14.015	26.670	25.227	25.760	103.396	16.127
17.781	14.974	27.468	25.848	26.246	105.384	16.527
18.353	16.058	28.266	26.550	26.790	107.369	16.946
18.913	17.063	29.069	27.243	27.426	109.289	17.430
19.448	18.109	30.020	27.811	28.137	111.549	17.941
19.975	19.225	30.967	28.526	28.850	113.157	18.526
20.478	20.281	31.977	29.246	29.636	114.702	19.354
20.943	21.442	32.831	29.852	30.450	116.110	19.837
21.436	22.373	33.804	30.539	31.324	117.548	20.357
21.932	23.458	34.742	31.295	32.121	118.915	20.841
22.441	24.407	35.599	32.052	33.053	120.233	21.365
23.020	25.067	36.573	32.913	33.911	121.558	21.822
23.691	25.974	37.423	33.694	34.795	122.895	22.219
24.383	26.871	38.292	34.610	35.747	124.253	22.541
25.031	27.676	39.171	35.514	36.721	125.538	22.891
