P4_hand_rP4_hands_pos_X	P4_hand_rP4_hands_pos_Y	P4_hand_rP4_hands_pos_Z	P4_hand_lP4_hands_pos_X	P4_hand_lP4_hands_pos_Y	P4_hand_lP4_hands_pos_Z


84.014	-2.664	778.787	28.455	164.668	772.279
84.050	-2.634	778.789	28.450	164.619	772.269
84.089	-2.601	778.789	28.448	164.575	772.255
84.102	-2.557	778.815	29.413	167.018	772.076
84.125	-2.545	778.819	29.408	166.968	772.097
84.019	-4.311	778.966	28.732	165.665	772.843
84.054	-4.398	778.880	28.879	165.844	772.733
84.189	-3.202	778.920	29.319	165.945	772.142
84.209	-3.215	778.909	29.313	165.827	772.123
84.233	-3.225	778.923	29.300	165.733	772.119
84.287	-3.241	778.919	29.287	165.614	772.099
84.336	-3.244	778.924	29.284	165.490	772.114
84.412	-3.248	778.915	29.262	165.412	772.127
84.467	-3.293	778.916	29.243	165.325	772.147
84.506	-3.291	778.934	29.252	165.220	772.149
84.538	-3.315	778.929	29.211	165.159	772.149
84.570	-3.330	778.952	29.178	165.089	772.146
84.572	-3.344	778.960	29.133	165.026	772.152
84.579	-3.372	778.996	29.117	164.944	772.135
84.563	-3.383	779.009	29.069	164.866	772.144
84.553	-3.412	779.035	29.046	164.784	772.124
84.554	-3.425	779.037	29.076	164.711	772.130
84.563	-3.449	779.064	29.067	164.641	772.163
84.578	-3.458	779.066	29.069	164.584	772.157
84.609	-3.491	779.078	29.053	164.514	772.165
84.644	-3.492	779.091	29.051	164.466	772.155
84.681	-3.511	779.108	29.051	164.436	772.146
84.699	-3.523	779.126	29.064	164.385	772.104
84.723	-3.551	779.156	29.062	164.359	772.056
84.739	-3.573	779.193	29.054	164.313	772.020
84.748	-3.586	779.200	29.070	164.306	772.005
84.754	-3.605	779.202	29.074	164.298	771.978
84.768	-3.614	779.206	29.094	164.297	771.961
84.787	-3.633	779.206	29.086	164.276	771.958
84.798	-3.644	779.222	29.092	164.265	771.936
84.781	-3.659	779.218	29.107	164.248	771.952
84.777	-3.688	779.209	29.091	164.244	771.958
84.782	-3.723	779.209	29.072	164.248	771.995
84.779	-3.734	779.200	29.070	164.213	771.997
84.781	-3.739	779.202	29.056	164.212	772.017
84.783	-3.738	779.222	29.067	164.197	772.040
84.768	-3.728	779.238	29.072	164.180	772.051
84.755	-3.720	779.244	29.066	164.203	772.081
84.736	-3.739	779.254	29.042	164.221	772.081
84.696	-3.745	779.246	29.016	164.261	772.104
84.679	-3.709	779.238	29.006	164.273	772.130
84.612	-3.699	779.225	28.975	164.278	772.136
84.556	-3.715	779.237	28.944	164.305	772.142
84.479	-3.678	779.245	28.922	164.296	772.156
84.414	-3.665	779.267	28.904	164.334	772.195
84.362	-3.654	779.258	28.878	164.364	772.214
84.297	-3.645	779.270	28.859	164.412	772.285
84.244	-3.649	779.269	28.809	164.465	772.335
84.198	-3.632	779.284	28.743	164.542	772.431
84.177	-3.628	779.264	28.723	164.602	772.488
84.152	-3.638	779.263	28.638	164.685	772.568
84.139	-3.628	779.239	28.598	164.762	772.625
84.144	-3.638	779.218	28.537	164.806	772.652
84.175	-3.651	779.209	28.515	164.846	772.705
