RHand	LHand	Head

0.000	0.000	0.000
4.903	4.808	12.097
4.796	129.581	12.661
3.655	129.159	13.091
88.099	84.908	65.518
92.766	69.790	55.589
56.112	47.819	36.441
59.645	37.465	29.689
2.502	10.714	16.482
4.123	10.831	15.069
5.244	12.158	13.865
6.262	10.275	13.454
6.971	8.653	12.700
5.229	9.647	11.791
3.789	8.458	10.830
3.893	7.552	9.770
2.734	7.718	9.955
3.091	7.870	9.560
3.189	8.642	8.777
3.080	8.747	10.078
2.538	7.743	10.453
2.409	7.525	11.515
2.510	6.538	13.046
3.206	6.378	14.547
3.947	5.939	14.850
4.039	3.984	17.249
3.592	4.874	16.355
3.717	5.946	13.001
4.604	5.515	12.726
3.115	3.707	10.508
1.862	2.493	8.321
1.745	2.542	6.756
2.175	1.599	6.479
2.286	2.054	5.192
1.452	1.775	3.119
2.495	1.510	3.242
3.239	2.759	3.723
2.379	2.683	3.683
0.864	2.253	5.460
1.113	2.300	6.364
1.985	2.482	7.832
2.017	2.085	7.880
1.849	2.950	10.119
3.187	4.002	12.918
3.334	4.001	12.241
4.880	2.749	13.621
6.135	3.503	15.591
6.806	2.946	15.687
7.677	3.633	15.650
6.041	4.961	13.991
5.942	6.385	14.632
5.919	8.615	14.239
5.030	11.343	10.602
3.507	11.163	8.072
2.552	11.207	8.464
2.315	12.216	9.644
2.246	8.974	9.223
2.626	7.122	8.001
3.288	8.632	7.225
3.845	11.081	7.523
2.725	11.274	7.227
2.768	18.820	6.732
3.294	22.392	6.310
2.922	20.253	7.005
4.613	25.175	8.866
3.566	23.733	8.934
3.101	18.354	8.885
6.835	13.699	10.875
9.618	10.302	12.603
9.009	9.431	15.134
7.603	7.467	18.184
8.488	5.046	19.814
9.650	3.208	22.929
9.152	10.058	27.780
3.647	10.098	29.294
4.297	5.406	29.932
4.563	6.731	31.381
3.496	6.194	33.695
4.510	8.059	36.425
6.670	8.734	39.315
9.082	8.260	44.415
9.903	11.004	44.931
9.881	10.060	45.454
9.085	7.763	50.050
8.874	5.671	52.648
9.438	3.985	50.212
9.091	3.954	49.592
10.019	1.952	54.429
9.053	3.798	54.376
6.751	4.971	56.805
5.447	4.148	60.705
5.203	4.580	57.889
6.306	4.230	52.078
4.597	4.505	53.141
3.373	6.015	58.106
2.546	4.737	56.424
1.674	4.560	54.164
2.921	5.541	57.495
2.859	4.961	61.338
1.237	5.434	60.058
1.174	6.200	55.936
1.796	5.526	57.062
2.610	3.247	60.213
2.968	2.236	56.815
3.126	4.829	52.276
6.080	5.445	50.071
6.158	5.017	48.645
3.910	6.483	47.543
5.745	7.648	47.202
9.475	7.044	45.942
8.315	4.760	39.638
5.081	4.714	34.012
3.074	3.921	29.055
1.794	2.511	23.834
2.413	3.148	19.763
3.429	3.294	15.083
5.055	3.170	11.549
5.434	4.199	10.905
6.318	5.015	11.699
5.424	5.277	13.279
6.989	5.291	15.614
5.581	3.212	18.186
3.532	2.310	21.416
4.814	3.146	24.636
3.588	2.553	25.323
2.928	1.772	25.711
4.931	2.518	29.674
7.240	4.243	33.562
8.024	5.730	36.256
8.951	6.423	38.213
12.106	7.164	36.430
13.457	8.029	33.929
9.613	8.373	36.207
7.129	10.662	37.253
6.093	9.939	33.504
4.669	9.578	31.691
4.282	10.707	34.012
5.113	12.015	35.411
5.686	12.882	35.552
7.953	13.087	33.282
9.561	15.314	30.497
13.302	13.094	29.389
13.547	10.150	28.031
10.040	8.248	28.669
8.597	5.645	28.500
6.593	5.902	24.978
5.960	5.449	23.209
4.635	5.384	21.826
3.414	6.488	20.131
4.446	8.156	20.542
4.330	9.276	20.898
6.607	8.113	24.126
9.490	7.649	26.361
9.951	7.926	23.978
9.740	8.911	22.503
9.545	9.670	23.245
9.847	10.301	21.973
8.112	9.622	21.251
6.606	8.518	22.081
7.322	8.886	22.469
7.137	6.594	21.461
6.040	5.323	21.507
4.408	6.581	22.111
2.379	6.877	23.662
2.348	5.735	24.836
4.367	5.119	23.908
4.322	4.964	22.622
3.441	5.890	19.899
2.212	5.772	16.741
3.051	6.625	17.595
4.661	6.707	20.191
6.531	6.821	20.250
5.515	7.389	20.729
4.312	6.640	23.735
6.584	7.125	28.897
5.426	9.382	29.154
3.885	11.430	25.362
5.126	11.756	24.820
5.151	12.555	22.319
3.695	12.236	19.771
2.556	13.152	18.153
4.016	15.302	16.750
6.960	17.603	15.723
9.020	20.669	13.708
11.274	23.456	13.019
14.625	26.382	14.079
14.577	29.600	15.984
10.899	34.506	15.572
9.604	39.213	15.078
8.481	47.098	13.570
4.988	53.472	10.927
3.372	53.917	9.762
4.989	50.375	6.800
8.076	48.215	6.265
10.662	50.056	8.964
12.987	48.750	10.670
14.643	43.962	11.093
15.682	38.187	12.335
16.893	34.392	12.885
18.754	33.835	13.481
16.451	35.671	13.313
11.481	36.422	13.129
8.654	32.594	12.411
7.817	28.899	11.308
8.486	25.411	10.656
8.479	22.516	11.504
8.687	21.800	12.025
9.117	21.625	10.222
8.513	24.684	9.788
11.802	25.757	10.024
11.339	25.073	8.010
6.708	25.775	6.202
6.910	27.612	6.748
6.798	28.671	4.366
6.771	26.048	4.711
6.683	23.486	6.254
5.360	20.926	6.383
4.531	20.671	8.612
4.370	20.266	10.596
3.563	18.185	12.871
2.599	15.572	13.536
1.978	15.513	13.582
1.275	13.103	13.406
1.094	11.834	12.918
0.765	10.927	13.192
2.022	8.611	14.120
1.612	8.814	15.054
2.239	7.887	14.959
3.182	8.230	15.390
2.093	7.994	16.480
0.727	6.655	17.162
0.323	6.106	18.116
2.151	5.218	15.536
3.477	4.197	13.803
3.669	8.138	13.704
3.478	9.964	11.334
3.919	6.222	12.029
4.283	3.460	12.946
3.751	4.273	12.180
4.658	5.610	12.554
5.062	6.662	13.900
4.948	11.197	14.429
4.690	13.734	14.833
3.799	16.114	17.349
2.891	19.276	17.951
1.324	18.946	16.260
1.861	16.863	15.935
2.675	16.235	20.711
2.640	15.294	21.832
2.022	12.104	19.346
0.901	11.396	18.539
1.850	13.379	14.697
4.057	14.016	12.332
1.789	14.186	10.198
3.268	13.785	7.639
3.725	14.530	5.647
2.651	17.947	3.972
3.970	18.318	2.779
5.356	16.873	4.048
5.733	15.627	5.972
7.890	15.219	7.463
10.644	19.155	8.752
13.980	20.636	9.845
14.169	21.754	10.708
13.611	21.684	13.053
14.423	19.868	14.031
14.159	20.063	14.697
14.719	16.279	17.096
13.967	11.453	19.425
11.358	11.631	18.913
7.508	13.339	16.672
4.406	13.976	16.301
1.934	14.265	15.578
1.492	14.180	15.393
3.223	12.782	14.018
3.310	13.530	12.444
3.345	16.002	12.074
4.361	19.358	11.267
4.600	24.044	10.406
3.068	29.315	10.125
2.920	34.720	10.965
4.884	37.086	11.893
5.905	35.100	11.809
6.756	35.784	10.687
5.879	39.170	9.357
3.018	40.309	8.995
1.649	40.298	8.764
2.285	37.142	6.955
1.836	32.167	6.661
0.612	28.121	6.550
2.654	27.652	5.448
3.908	28.099	5.092
4.677	27.137	4.339
4.224	28.659	3.861
2.787	30.942	2.183
2.357	29.770	4.664
3.018	27.621	5.933
2.645	25.358	4.837
1.302	21.146	5.083
2.009	15.566	7.413
3.706	10.435	8.779
2.826	7.955	7.802
2.486	3.617	9.505
2.991	2.972	9.907
3.569	3.805	9.646
4.773	4.106	11.117
5.586	5.337	12.691
5.394	6.997	12.414
5.320	7.620	11.688
3.871	9.302	11.927
3.732	10.097	12.880
4.985	9.488	13.430
4.878	10.936	13.722
4.307	14.349	12.528
2.182	14.985	12.348
1.897	14.561	14.393
2.779	13.550	15.522
2.022	10.360	15.905
1.590	8.054	17.358
2.671	8.137	19.658
3.818	7.478	21.099
4.098	5.880	21.687
4.472	4.326	20.102
5.456	4.927	16.873
5.009	4.179	13.107
3.883	3.379	11.585
4.283	5.951	11.075
5.141	5.806	9.933
6.156	4.869	9.775
