P4_shoulder_lP4_whole_dist_traveled	P4_hand_rP4_whole_dist_traveled	P4_hand_lP4_whole_dist_traveled	P4_shoulder_rP4_whole_dist_traveled	P4_headP4_whole_dist_traveled	P4_elbow_rP4_whole_dist_traveled	P4_elbow_lP4_whole_dist_traveled


0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.242	0.000	0.000
0.000	0.000	2.545	0.000	0.242	0.000	0.000
0.000	0.000	2.545	0.000	0.504	0.000	0.000
1.136	1.656	4.244	1.630	1.793	1.503	1.235
1.694	1.656	4.500	2.828	2.295	2.392	1.720
2.574	2.778	5.244	3.584	2.844	2.955	2.396
2.574	2.778	5.244	3.584	2.844	2.955	2.396
2.574	2.778	5.458	3.584	3.174	2.955	2.396
2.779	2.778	5.458	3.584	3.174	2.955	2.396
2.779	2.778	5.701	3.584	3.451	2.955	2.396
2.779	3.006	5.701	3.584	3.451	2.955	2.602
2.779	3.006	5.701	3.584	3.705	2.955	2.602
3.011	3.006	5.975	3.795	3.705	2.955	2.602
3.011	3.006	5.975	3.795	3.922	2.955	2.602
3.011	3.006	5.975	3.795	3.922	2.955	2.602
3.011	3.006	6.203	3.795	3.922	2.955	2.602
3.011	3.230	6.203	3.795	4.209	2.955	2.602
3.245	3.230	6.203	3.997	4.209	2.955	2.602
3.245	3.230	6.461	3.997	4.411	2.955	2.602
3.245	3.230	6.461	3.997	4.411	2.955	2.602
3.245	3.230	6.461	3.997	4.641	2.955	2.602
3.245	3.230	6.666	3.997	4.641	2.955	2.602
3.486	3.230	6.666	4.299	4.932	2.955	2.602
3.486	3.230	6.666	4.299	4.932	3.158	2.602
3.486	3.435	6.666	4.655	5.277	3.158	2.602
3.486	3.435	6.872	4.987	5.277	3.158	2.602
3.732	3.435	6.872	4.987	5.537	3.158	2.602
3.732	3.435	6.872	4.987	5.537	3.158	2.602
3.732	3.435	6.872	4.987	5.747	3.158	2.602
3.732	3.435	6.872	4.987	5.747	3.158	2.602
3.936	3.435	6.872	4.987	5.747	3.158	2.602
3.936	3.435	6.872	4.987	5.747	3.158	2.602
3.936	3.646	7.080	4.987	5.984	3.158	2.602
3.936	3.646	7.080	4.987	5.984	3.158	2.602
3.936	3.646	7.080	4.987	5.984	3.158	2.602
3.936	3.646	7.080	4.987	5.984	3.158	2.602
3.936	3.646	7.080	5.197	5.984	3.158	2.602
4.175	3.646	7.080	5.197	5.984	3.158	2.602
4.175	3.646	7.080	5.197	6.236	3.158	2.602
4.175	3.646	7.080	5.197	6.236	3.158	2.602
4.175	3.646	7.080	5.197	6.236	3.158	2.602
4.175	3.646	7.080	5.197	6.518	3.158	2.813
4.175	3.646	7.080	5.197	6.518	3.158	2.813
4.175	3.646	7.293	5.197	6.762	3.158	2.813
4.175	3.646	7.293	5.197	6.762	3.158	2.813
4.175	3.898	7.293	5.197	7.074	3.158	2.813
4.424	3.898	7.293	5.197	7.074	3.158	2.813
4.424	3.898	7.293	5.197	7.387	3.158	2.813
4.424	4.103	7.293	5.197	7.387	3.158	2.813
4.424	4.103	7.548	5.197	7.680	3.158	2.813
