P5_hand_rP4_whole_dist_traveled	P5_shoulder_rP4_whole_dist_traveled	P5_headP4_whole_dist_traveled	P5_hand_lP4_whole_dist_traveled	P5_shoulder_lP4_whole_dist_traveled	P5_elbow_rP4_whole_dist_traveled	P5_elbow_lP4_whole_dist_traveled


0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.922
0.000	0.000	0.000	0.000	0.000	0.000	1.853
0.000	0.000	0.000	0.000	1.398	0.000	1.853
0.000	0.000	0.000	0.000	1.398	0.000	1.853
1.156	1.015	0.834	1.621	2.474	0.883	2.581
2.862	2.233	1.991	3.705	4.024	2.852	3.165
2.862	2.233	1.991	3.705	4.024	2.852	3.165
2.862	2.233	1.991	3.705	4.024	2.852	3.165
2.862	2.233	2.214	3.914	4.261	2.852	3.165
2.862	2.233	2.214	3.914	4.261	2.852	3.165
2.862	2.233	2.214	3.914	4.261	2.852	3.165
2.862	2.233	2.214	3.914	4.261	2.852	3.165
2.862	2.233	2.430	3.914	4.261	2.852	3.165
2.862	2.233	2.430	3.914	4.261	2.852	3.165
2.862	2.233	2.430	3.914	4.261	2.852	3.165
3.078	2.233	2.430	3.914	4.261	2.852	3.165
3.078	2.233	2.430	3.914	4.261	2.852	3.165
3.078	2.233	2.430	3.914	4.261	2.852	3.165
3.078	2.233	2.430	3.914	4.261	2.852	3.165
3.078	2.233	2.634	3.914	4.261	2.852	3.165
3.078	2.233	2.634	3.914	4.478	2.852	3.165
3.078	2.233	2.634	3.914	4.478	2.852	3.165
3.078	2.233	2.634	3.914	4.478	2.852	3.165
3.078	2.233	2.634	3.914	4.478	2.852	3.165
3.078	2.233	2.634	3.914	4.478	2.852	3.165
3.078	2.233	2.634	3.914	0.000	2.852	3.165
3.078	2.233	2.634	4.130	0.000	2.852	3.165
3.078	2.233	2.634	4.130	0.000	2.852	3.165
3.078	2.233	2.634	4.130	0.000	2.852	3.165
3.078	2.233	2.634	4.130	0.000	2.852	3.165
3.078	2.233	2.634	4.130	0.000	2.852	3.165
3.078	2.233	2.634	4.130	0.000	2.852	3.165
3.288	2.233	2.634	4.130	0.000	2.852	3.165
3.288	2.233	2.634	4.130	0.000	2.852	3.165
3.288	2.233	2.634	4.130	0.000	2.852	3.165
3.288	2.233	2.634	4.130	0.000	2.852	3.165
3.288	2.233	2.634	4.130	0.000	2.852	3.165
3.288	2.233	2.634	4.130	0.000	2.852	3.165
3.288	2.233	2.634	4.130	0.000	2.852	3.165
3.288	2.233	2.634	4.130	0.000	2.852	3.165
3.288	2.233	2.634	4.130	0.000	2.852	3.165
3.288	2.233	2.634	4.130	0.000	2.852	3.165
3.288	2.233	2.634	4.130	0.000	2.852	3.165
3.288	2.233	2.634	4.130	0.000	2.852	3.165
3.288	2.233	2.634	4.130	0.000	2.852	3.165
3.288	2.233	2.634	4.130	0.000	2.852	3.165
3.288	2.233	2.634	4.130	0.000	2.852	3.165
3.489	2.233	2.634	4.130	0.000	2.852	3.165
3.489	2.233	2.634	4.130	0.000	2.852	3.165
3.489	2.233	2.634	4.130	0.000	2.852	3.165
3.489	2.233	2.884	4.130	0.000	2.852	3.165
