P5_hands_dir_Distance_X	P5_hands_dir_Distance_Y	P5_hands_dir_Distance_Z


-50.974	133.355	0.581
-50.967	133.371	0.582
-50.970	133.373	0.605
-50.977	133.368	0.597
-50.966	133.365	0.616
-50.841	133.852	1.295
-50.622	133.306	0.350
-50.665	133.280	0.347
-50.649	133.261	0.354
-50.810	133.077	0.268
-50.670	133.231	0.319
-50.680	133.226	0.316
-50.693	133.221	0.309
-50.684	133.188	0.325
-50.696	133.209	0.300
-50.719	133.184	0.301
-50.685	133.208	0.273
-50.705	133.198	0.303
-50.685	133.196	0.302
-50.717	133.198	0.276
-50.722	133.203	0.274
-50.716	133.209	0.276
-50.708	133.204	0.272
-50.734	133.181	0.260
-50.730	133.191	0.276
-50.735	133.175	0.271
-50.866	133.069	0.198
-50.755	133.142	0.221
-50.765	133.154	0.241
-50.737	133.130	0.254
-50.740	133.147	0.245
-50.781	133.146	0.243
-50.785	133.150	0.220
-50.898	133.030	0.171
-50.795	133.135	0.208
-50.782	133.129	0.235
-50.789	133.162	0.247
-50.784	133.172	0.241
-50.800	133.163	0.230
-50.780	133.142	0.232
-50.822	133.157	0.213
-50.759	133.161	0.241
-50.799	133.157	0.205
-50.902	133.050	0.160
-50.794	133.160	0.202
-50.810	133.150	0.186
-50.801	133.161	0.186
-50.803	133.147	0.198
-50.786	133.156	0.207
-50.775	133.178	0.192
-50.777	133.160	0.208
-50.779	133.181	0.224
-50.933	133.056	0.111
-50.746	133.148	0.226
-50.788	133.139	0.253
-50.781	133.111	0.224
-50.772	133.125	0.240
-50.781	133.124	0.217
-50.779	133.127	0.176
-50.802	133.145	0.190
-50.902	133.046	0.103
-50.774	133.137	0.165
-50.781	133.148	0.170
-50.771	133.172	0.194
-50.803	133.167	0.183
-50.781	133.158	0.225
-50.802	133.144	0.177
-50.803	133.115	0.170
-50.789	133.127	0.165
-50.793	133.109	0.197
-50.812	133.108	0.195
-50.936	133.023	0.094
-50.805	133.109	0.195
-50.801	133.110	0.193
-50.889	132.473	0.177
-50.773	133.078	0.231
-50.799	133.073	0.220
-50.791	133.091	0.213
-50.879	132.451	0.179
-50.904	132.991	0.117
-50.787	133.092	0.235
-50.772	133.082	0.227
-50.775	133.089	0.220
-50.791	133.104	0.219
-50.782	133.096	0.247
-50.791	133.120	0.202
-50.802	133.106	0.188
-50.772	133.108	0.180
-50.792	133.120	0.146
-50.784	133.133	0.139
-50.759	133.091	0.182
-50.762	133.101	0.181
-50.885	133.033	0.098
-50.749	133.084	0.183
-50.739	133.061	0.208
-50.856	132.449	0.172
-50.762	133.085	0.220
-50.763	133.085	0.230
-50.856	132.439	0.200
-50.746	133.060	0.211
-50.753	133.096	0.229
-50.986	132.367	0.068
-50.758	133.072	0.218
-50.748	133.091	0.212
-50.743	133.096	0.185
-50.751	133.102	0.203
-50.766	133.102	0.193
-50.750	133.099	0.194
-50.909	133.036	0.108
-50.875	132.491	0.149
-50.780	133.102	0.194
-50.763	133.103	0.173
-50.784	133.102	0.171
-50.779	133.132	0.185
-50.776	133.102	0.199
-50.898	133.007	0.132
-50.888	132.493	0.173
-50.854	132.453	0.184
-50.770	133.088	0.228
-50.749	133.059	0.236
