RHand_X	RHand_Y	RHand_Z	Head_X	Head_Y	Head_Z	LHand_X	LHand_Y	LHand_Z


0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.337	1.025	0.414	0.809	0.000	0.000	0.470	1.522	0.300
0.934	2.502	1.027	1.756	0.461	0.000	0.847	3.545	0.632
0.934	2.502	1.027	1.756	0.461	0.000	0.847	3.545	0.632
0.934	2.502	1.027	1.756	0.461	0.000	0.847	3.545	0.632
0.934	2.502	1.027	1.756	0.461	0.000	0.847	3.545	0.632
0.934	2.502	1.027	1.756	0.683	0.000	0.847	3.766	0.632
0.934	2.502	1.027	1.756	0.683	0.000	0.847	3.766	0.632
0.934	2.502	1.027	1.985	0.683	0.000	0.847	3.766	0.632
0.934	2.502	1.027	1.985	0.683	0.000	0.847	3.766	0.632
0.934	2.502	1.027	1.985	0.683	0.000	0.847	3.766	0.632
0.934	2.502	1.027	1.985	0.683	0.000	0.847	3.766	0.632
0.934	2.707	1.027	1.985	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	1.985	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	1.985	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	1.985	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	1.985	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	1.985	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	1.985	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	1.985	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.766	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.967	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.967	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.967	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.967	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.967	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.967	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.967	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.967	0.632
0.934	2.707	1.027	2.187	0.899	0.000	0.847	3.967	0.632
