Head_X	Head_Y	Head_Z	RHand_X	RHand_Y	RHand_Z	LHand_X	LHand_Y	LHand_Z


0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.293	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.301	0.501	0.365	0.000	0.000	0.000
0.000	0.000	0.000	0.740	1.301	0.696	0.227	0.000	0.000
0.000	0.000	0.000	0.740	1.301	0.696	0.227	0.394	0.000
0.947	1.557	0.205	0.740	1.301	1.530	0.227	1.167	0.529
2.035	1.557	0.743	0.740	1.828	2.321	0.227	1.167	1.015
2.482	3.105	1.173	0.740	2.057	2.321	0.227	1.167	1.015
2.482	3.105	1.173	0.740	2.290	2.321	0.479	1.493	1.015
2.482	3.105	1.173	0.740	2.514	2.559	0.479	1.493	1.015
2.482	3.105	1.173	0.740	2.735	2.559	0.479	1.842	1.015
2.747	3.105	1.173	0.740	2.945	2.559	0.479	1.842	1.015
2.747	3.105	1.173	0.740	3.149	2.559	0.479	1.842	1.015
2.747	3.105	1.173	0.740	3.382	2.559	0.479	2.050	1.015
2.971	3.328	1.173	0.983	3.606	2.559	0.479	2.050	1.015
2.971	3.328	1.173	0.983	3.606	2.559	0.479	2.050	1.015
2.971	3.328	1.173	0.983	3.951	2.783	0.479	2.050	1.015
2.971	3.537	1.173	0.983	3.951	2.783	0.479	2.050	1.015
3.223	3.537	1.173	0.983	3.951	2.783	0.689	2.050	1.015
3.223	3.537	1.173	0.983	4.205	2.783	0.689	2.050	1.250
3.223	3.815	1.173	0.983	4.205	2.783	0.689	2.050	1.250
3.487	3.815	1.374	0.983	4.205	2.783	0.689	2.050	1.250
3.487	4.046	1.374	0.983	4.489	2.783	0.689	2.050	1.250
3.487	4.046	1.374	0.983	4.489	2.783	0.689	2.050	1.250
3.752	4.272	1.374	0.983	4.489	2.783	0.689	2.050	1.250
3.752	4.272	1.374	1.216	4.489	2.783	0.689	2.050	1.250
3.752	4.504	1.374	1.216	4.489	2.783	0.689	2.050	1.250
3.995	4.504	1.374	1.477	4.489	3.034	0.689	2.050	1.250
3.995	4.718	1.374	1.477	4.489	3.034	0.689	2.050	1.250
3.995	4.718	1.374	1.766	4.782	3.034	0.689	2.050	1.250
4.260	4.928	1.374	1.766	4.782	3.291	0.689	2.050	1.250
4.260	4.928	1.374	1.766	5.011	3.291	0.689	2.293	1.250
4.260	5.153	1.374	2.028	5.011	3.291	0.689	2.293	1.250
4.494	5.153	1.587	2.028	5.011	3.291	0.689	2.293	1.250
4.494	5.153	1.587	2.028	5.011	3.539	0.689	2.293	1.250
4.494	5.393	1.587	2.028	5.247	3.539	0.689	2.293	1.250
4.494	5.393	1.587	2.028	5.247	3.539	0.689	2.293	1.250
4.718	5.393	1.587	2.235	5.247	3.539	0.689	2.547	1.250
4.718	5.619	1.587	2.235	5.247	3.539	0.689	2.547	1.250
4.718	5.619	1.587	2.235	5.247	3.539	0.689	2.547	1.250
4.718	5.619	1.587	2.235	5.488	3.752	0.689	2.547	1.250
4.718	5.619	1.587	2.495	5.488	3.752	0.689	2.547	1.250
4.718	5.619	1.587	2.891	6.205	3.752	0.689	2.777	1.250
