Head	RHand	LHand


0.000	0.000	0.000
3.018	34.456	12.888
3.595	63.545	8.583
5.211	56.000	18.695
90.217	42.439	59.371
89.005	19.194	32.238
83.967	55.207	28.165
93.544	24.909	24.335
7.090	24.449	21.085
6.433	23.307	17.855
7.392	22.302	14.486
8.361	21.393	9.510
8.696	23.224	4.531
9.839	25.173	2.183
10.165	20.863	5.611
9.567	18.237	6.753
9.430	14.926	6.579
9.708	9.867	4.612
11.182	7.489	3.864
12.954	8.757	3.600
14.059	10.021	3.240
15.454	8.802	2.435
14.661	8.541	2.069
14.312	8.622	3.644
14.154	9.734	4.932
14.489	12.898	4.941
15.445	16.158	3.617
13.341	20.069	2.476
13.269	21.169	3.497
13.942	18.631	3.251
13.348	16.713	3.504
14.003	13.325	4.953
13.003	9.526	5.368
11.031	9.034	6.080
10.421	8.991	5.483
10.509	6.567	4.862
10.448	6.125	5.881
8.691	6.916	6.117
8.181	8.388	4.879
6.575	10.340	5.116
3.697	11.867	4.666
3.986	43.611	4.395
2.578	43.746	4.621
2.891	12.566	4.686
3.413	10.654	6.203
4.575	9.565	7.238
5.510	11.601	3.926
5.906	9.738	2.196
6.388	7.497	4.120
5.780	8.967	5.875
6.628	10.196	4.712
6.955	10.289	3.510
7.623	13.191	4.889
6.952	16.099	3.858
5.406	17.818	4.489
6.066	20.000	4.776
5.542	23.276	5.297
6.299	21.757	6.922
8.066	19.266	6.324
5.872	16.587	4.434
3.741	13.245	3.497
6.903	12.265	1.897
5.834	10.128	2.532
5.037	9.290	2.467
6.534	9.187	2.239
6.236	8.439	1.857
7.145	9.521	1.912
7.216	10.810	1.236
9.217	12.835	2.029
11.226	12.877	2.449
9.834	12.445	1.935
10.685	14.065	1.076
12.622	12.677	1.752
13.558	9.780	2.583
13.593	7.943	5.283
12.779	8.170	7.129
12.362	7.987	9.441
12.026	7.497	10.219
11.644	7.326	10.634
10.949	9.633	10.482
10.181	11.595	9.557
10.010	10.601	7.657
10.148	8.358	5.940
9.208	9.652	6.819
7.454	9.017	5.605
6.196	8.903	5.637
6.192	7.691	8.208
4.702	5.128	4.411
4.607	7.057	2.319
4.602	11.422	1.640
3.259	13.973	5.504
2.399	12.753	7.552
2.525	11.597	9.761
2.424	13.959	9.459
1.775	18.055	7.254
1.502	25.172	7.297
1.613	30.531	10.867
3.591	36.875	16.816
3.398	40.938	17.998
3.556	44.209	9.985
4.166	43.305	5.434
3.613	33.240	6.626
5.010	28.877	8.878
5.006	19.217	9.792
6.509	13.834	9.475
8.107	14.011	8.831
7.110	14.662	7.423
7.079	18.907	7.736
6.385	22.876	8.707
7.231	24.326	10.727
8.813	20.147	12.297
8.327	20.123	14.974
7.726	26.290	21.401
7.452	17.630	24.416
6.480	15.836	19.130
7.676	13.115	12.495
7.650	12.902	11.469
7.013	18.319	7.756
8.281	28.493	11.661
8.688	39.686	9.474
8.754	40.092	6.976
9.492	32.672	4.419
9.470	27.050	5.908
8.468	20.575	8.943
7.633	17.196	8.372
7.081	12.171	7.812
6.852	7.406	5.885
7.459	6.772	6.638
7.785	7.915	6.211
6.922	8.438	5.076
8.459	7.278	4.554
9.319	12.627	2.688
8.898	13.758	7.686
