P6_elbow_lP6_whole_dist_traveled	P6_shoulder_lP6_whole_dist_traveled	P6_shoulder_rP6_whole_dist_traveled	P6_elbow_rP6_whole_dist_traveled	P6_headP6_whole_dist_traveled	P6_hand_rP6_whole_dist_traveled	P6_hand_lP6_whole_dist_traveled


0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.381	0.000
0.341	0.000	0.000	0.341	0.000	0.691	0.258
0.341	0.624	0.276	0.554	0.000	1.662	0.258
0.553	0.624	0.276	0.554	0.000	1.662	0.632
3.993	2.574	1.448	2.166	1.834	2.510	1.595
4.613	3.717	2.943	4.338	3.062	3.438	2.172
8.578	5.760	5.361	7.761	4.904	3.682	2.429
8.578	5.760	5.361	7.761	4.904	3.941	2.659
8.783	5.760	5.361	8.007	4.904	4.174	2.659
8.783	6.036	5.361	8.007	5.109	4.408	3.017
8.783	6.036	5.361	8.409	5.109	4.624	3.017
9.005	6.036	5.361	8.409	5.109	4.836	3.017
9.699	6.262	5.361	8.688	5.360	5.095	3.230
9.699	6.262	5.565	8.688	5.360	5.340	3.230
9.699	6.262	5.565	8.898	5.563	5.340	3.230
9.699	6.506	5.565	8.898	5.563	5.705	3.230
9.917	6.506	5.565	8.898	5.563	5.705	3.467
9.917	6.506	5.852	8.898	5.855	5.705	3.467
9.917	6.723	5.852	9.111	5.855	5.959	3.467
9.917	6.723	5.852	9.111	6.115	5.959	3.467
9.917	6.723	6.151	9.111	6.115	6.159	3.467
10.151	6.954	6.151	9.328	6.424	6.159	3.467
10.151	6.954	6.151	9.328	6.424	6.159	3.467
10.151	6.954	6.413	9.328	6.710	6.414	3.467
10.151	7.173	6.413	9.555	6.710	6.414	3.467
10.356	7.173	6.615	9.555	7.000	6.672	3.707
10.356	7.173	6.615	9.555	7.000	6.672	3.707
10.356	7.173	6.853	9.871	7.267	7.074	3.707
10.356	7.423	6.853	9.871	7.267	7.074	3.707
10.356	7.423	6.853	10.139	7.545	7.446	3.707
10.356	7.423	7.132	10.366	7.545	7.446	3.707
10.567	7.423	7.132	10.366	7.825	7.713	3.707
10.567	7.669	7.132	10.366	7.825	7.713	3.707
10.567	7.669	7.361	10.633	8.046	7.713	3.707
10.567	7.669	7.361	10.633	8.046	7.970	3.707
10.567	7.669	7.361	10.633	8.256	7.970	3.707
10.795	7.669	7.361	10.633	8.256	7.970	3.937
10.795	7.875	7.573	10.633	8.256	7.970	3.937
10.795	7.875	7.573	10.633	8.514	8.252	3.937
10.795	7.875	7.573	10.633	8.514	8.252	3.937
10.795	7.875	7.573	10.633	8.514	8.489	3.937
10.795	7.875	7.573	10.633	8.514	9.266	4.171
10.795	7.875	7.573	10.633	8.514	9.266	4.171
10.795	7.875	7.573	10.633	8.514	9.517	4.171
10.795	7.875	7.573	10.836	8.514	9.517	4.171
10.795	7.875	7.573	10.836	8.514	9.517	4.398
10.795	7.875	7.573	10.836	8.726	9.829	4.398
10.795	7.875	7.780	10.836	8.726	9.829	4.398
10.795	7.875	7.780	10.836	8.726	9.829	4.398
10.795	7.875	7.780	10.836	8.726	10.080	4.398
10.795	7.875	7.780	10.836	8.984	10.080	4.398
